sample,event_id,gate,category,loss
249,293,1,1,750939506.0
249,294,37,2,3450533798.0
250,297,20,3,6613654285.0
251,298,12,1,1961430352.0
255,302,20,2,4661767010.0
255,301,52,1,527777294.0
256,303,1,1,1072561870.0
257,305,6,1,901765476.2
258,306,45,1,1119276599.0
261,307,49,1,931561597.3
261,309,48,3,8097986358.0
262,310,14,3,8938953132.0
263,311,20,4,26234121822.0
265,312,21,1,1624871268.0
265,313,51,3,5766402585.0
266,314,14,3,5030803098.0
270,315,11,1,396302897.1
270,316,20,3,6613654285.0
271,318,48,1,782626301.6
272,320,12,1,690090934.1
274,322,14,1,1025884483.0
276,323,12,1,1857796201.0
277,325,50,1,795430630.9
279,327,37,1,1361850958.0
280,329,8,2,2424371639.0
280,330,49,3,6613654285.0
280,328,50,1,795430630.9
282,331,9,1,524354473.6
285,332,49,1,695753186.5
285,334,9,3,5961674471.0
286,335,12,1,805167829.7
286,336,20,4,26234121822.0
289,339,49,3,6613654285.0
290,340,9,3,5961674471.0
292,343,21,4,14948036345.0
292,342,11,1,1127704224.0
292,341,18,3,7188343121.0
295,344,12,1,667008083.8
296,346,45,1,1119276599.0
298,348,46,2,3450533798.0
299,351,6,1,901765476.2
299,350,52,1,773323953.9
299,349,63,2,2733219431.0
300,352,40,4,14853619650.0
301,354,37,2,3450533798.0
301,353,48,3,8097986358.0
302,356,14,3,5030803098.0
303,358,32,1,821323293.5
303,359,20,4,26234121822.0
304,360,2,1,830658622.2
305,361,12,1,1016163045.0
306,364,1,1,885074762.3
306,363,2,1,1221296777.0
307,365,2,1,889997601.1
307,366,50,1,795430630.9
308,368,1,1,801669619.3
308,370,12,3,8126555557.0
308,369,37,2,3450533798.0
308,367,48,1,903755976.5
309,371,14,3,8938953132.0
310,373,51,3,16979857606.0
310,372,37,2,3450533798.0
313,375,21,1,1624871268.0
314,376,51,3,13533194881.0
315,379,21,1,1624871268.0
315,378,12,1,1241017698.0
318,380,20,3,6613654285.0
318,381,14,1,1289941312.0
321,384,12,1,509255497.6
324,385,52,2,4224952563.0
328,387,21,1,1624871268.0
329,388,9,1,524354473.6
329,389,12,1,607453335.9
331,390,53,1,1316785465.0
331,391,51,3,11721562638.0
335,396,37,2,3450533798.0
337,402,48,3,8097986358.0
337,401,12,1,336020149.5
337,399,12,1,412649215.7
338,404,29,1,821323293.5
338,403,20,4,26234121822.0
341,406,61,2,3611421792.0
342,407,12,1,1709348523.0
343,408,12,1,1392964191.0
344,409,12,1,451053528.9
346,412,40,4,14853619650.0
346,413,53,1,1316785465.0
348,414,21,1,1624871268.0
348,417,61,1,462562513.5
348,415,12,1,1915687680.0
352,419,1,1,872477522.2
353,421,21,1,947222683.7
353,422,14,3,5030803098.0
354,423,2,1,978289689.8
358,425,12,1,385986868.5
358,426,18,3,7188343121.0
359,427,20,3,6613654285.0
362,429,22,1,947222683.7
362,430,50,3,8272484451.0
362,431,11,1,250811481.2
366,433,45,1,1119276599.0
366,434,50,1,795430630.9
367,436,10,1,766958075.8
367,435,14,3,8938953132.0
370,438,46,1,524354473.6
370,437,37,1,1361850958.0
374,439,46,2,3450533798.0
376,442,46,2,3450533798.0
376,441,1,1,750545266.6
376,440,37,2,3450533798.0
377,444,22,1,947222683.7
377,443,25,1,785057726.5
379,447,21,1,1624871268.0
380,449,37,1,1361850958.0
381,450,1,1,886139377.8
382,451,14,1,1289941312.0
384,453,51,3,11772859542.0
385,454,21,1,1624871268.0
385,455,13,3,5030803098.0
385,456,18,3,7188343121.0
385,457,51,3,10500861655.0
386,458,27,1,1247943521.0
387,459,51,3,9079647446.0
389,460,1,1,906902259.5
389,461,1,3,5749773962.0
390,464,48,1,672504113.1
392,466,20,2,4661767010.0
393,467,14,3,7188343121.0
395,469,19,4,26234121822.0
397,471,6,1,901765476.2
398,472,13,3,8938953132.0
398,473,12,1,1721301365.0
398,474,10,1,573473280.7
398,475,12,1,557976347.5
399,477,51,3,10441354762.0
400,479,46,2,3450533798.0
400,478,29,1,821323293.5
401,481,12,1,358490400.0
401,480,58,1,775055478.6
403,483,13,3,5030803098.0
404,484,1,1,774325770.8
409,486,26,1,1205057041.0
412,487,36,2,3450533798.0
414,489,26,1,1205057041.0
415,490,21,1,1624871268.0
416,491,12,1,916756647.4
417,492,46,4,14948036345.0
422,494,53,1,1316785465.0
424,497,49,1,654227952.3
425,498,45,1,1119276599.0
425,499,9,3,5961674471.0
426,500,1,1,792433912.9
427,501,63,2,2733219431.0
428,502,50,1,795430630.9
429,504,12,1,1170722174.0
430,505,10,1,697310685.5
431,506,49,1,479850757.6
433,508,37,2,3450533798.0
433,507,63,2,2733219431.0
434,510,39,2,2424371639.0
438,512,48,3,8097986358.0
441,514,48,3,8097986358.0
443,519,46,2,3450533798.0
443,518,12,1,753893405.2
444,520,51,3,8325092057.0
444,521,13,1,780988111.9
445,522,58,1,775055478.6
447,526,21,1,947222683.7
447,525,12,1,1203964862.0
447,524,51,3,6546798534.0
448,527,49,3,6613654285.0
448,528,15,1,953647683.2
448,529,25,1,785057726.5
449,531,12,1,564659566.8
451,535,61,2,3611421792.0
451,533,58,1,775055478.6
453,536,52,2,4224952563.0
454,538,15,1,1153253312.0
455,541,1,1,1132744358.0
455,540,25,1,785057726.5
456,543,22,1,947222683.7
456,542,6,1,901765476.2
457,544,2,1,946174908.7
458,545,51,3,6686206732.0
459,547,15,3,8938953132.0
459,546,8,2,2424371639.0
460,549,12,1,2042360000.0
460,548,20,4,26234121822.0
461,551,12,1,1291160224.0
463,552,46,4,14948036345.0
464,553,9,3,5961674471.0
466,555,14,1,1289941312.0
467,557,15,1,576988517.1
467,556,13,3,8938953132.0
468,558,9,3,5961674471.0
469,559,20,2,4661767010.0
470,560,10,1,758703772.1
470,561,1,1,779615635.8
470,562,12,1,1339175420.0
471,563,11,2,2544197467.0
471,564,32,1,821323293.5
472,565,11,2,2544197467.0
475,567,14,3,8938953132.0
476,570,12,1,713560354.0
476,568,12,1,690090934.1
478,572,50,1,795430630.9
479,573,61,2,3611421792.0
480,574,1,1,872477522.2
481,576,63,2,2733219431.0
486,577,12,1,1341333887.0
487,581,1,1,755753030.0
487,579,21,4,14948036345.0
488,582,12,3,8126555557.0
488,583,61,2,3611421792.0
491,585,58,1,775055478.6
493,589,10,1,804631799.0
493,590,51,3,5649485932.0
494,592,18,3,7188343121.0
494,591,26,1,1205057041.0
495,593,11,1,1435403638.0
497,595,49,1,808904490.5
498,597,53,1,1316785465.0
505,598,46,1,524354473.6
506,599,58,1,775055478.6
506,600,6,1,901765476.2
507,601,14,3,8938953132.0
